bagOfWords,Ngram,1,Naive Bayes,69.53%,0.005,0.003
bagOfWords,Ngram,2,Naive Bayes,78.91%,0.031,0.016
bagOfWords,Ngram,3,Naive Bayes,83.96%,0.102,0.047
bagOfWords,Ngram,4,Naive Bayes,92.19%,0.147,0.072
bagOfWords,Ngram,5,Naive Bayes,94.92%,0.201,0.095
bagOfWords,Ngram,6,Naive Bayes,96.12%,0.377,0.182
bagOfWords,Ngram,7,Naive Bayes,96.54%,0.551,0.299
bagOfWords,Ngram,8,Naive Bayes,96.67%,0.692,0.362
bagOfWords,Ngram,9,Naive Bayes,96.5%,0.837,0.382
bagOfWords,Ngram,10,Naive Bayes,96.29%,1.027,0.41
bagOfWords,Word,1,Naive Bayes,92.74%,0.028,0.013
tfidf,Ngram,1,Naive Bayes,75.19%,0.005,0.002
tfidf,Ngram,2,Naive Bayes,81.98%,0.033,0.017
tfidf,Ngram,3,Naive Bayes,85.54%,0.105,0.05
tfidf,Ngram,4,Naive Bayes,92.43%,0.159,0.077
tfidf,Ngram,5,Naive Bayes,94.78%,0.193,0.09
tfidf,Ngram,6,Naive Bayes,96.11%,0.293,0.145
tfidf,Ngram,7,Naive Bayes,96.58%,0.504,0.319
tfidf,Ngram,8,Naive Bayes,96.71%,0.675,0.343
tfidf,Ngram,9,Naive Bayes,96.56%,0.853,0.406
tfidf,Ngram,10,Naive Bayes,96.38%,1.02,0.407
tfidf,Word,1,Naive Bayes,92.63%,0.027,0.013
